cantonId,cantonLabel,municipalityId,municipalityLabel
Q11929,Canton of Solothurn,Q66966,Balm bei Günsberg
Q11929,Canton of Solothurn,Q65455,Balsthal
Q834,Canton of Valais,Q70154,Baltschieder
Q11911,Canton of Berne,Q66841,Bannwil
Q11917,Canton of Geneva,Q68191,Bardonnex
Q11943,Canton of Zürich,Q65868,Bäretswil
Q11911,Canton of Berne,Q66438,Bargen
Q12697,Canton of Schaffhausen,Q69156,Bargen
Q11911,Canton of Berne,Q68565,Bäriswil
Q11929,Canton of Solothurn,Q66716,Bärschwil
Q12640,Canton of Fribourg,Q66020,Bas-Intyamon
Q12713,Canton of Thurgau,Q66711,Basadingen-Schlattingen
Q12172,Canton of Basel-Stadt,Q78,Basel
Q12755,Canton of Jura,Q70531,Basse-Allaine
Q12755,Canton of Jura,Q113535598,Basse-Vendline
Q11943,Canton of Zürich,Q69734,Bassersdorf
Q12771,Canton of Vaud,Q43243,Bassins
Q11911,Canton of Berne,Q67596,Bätterkinden
Q11929,Canton of Solothurn,Q70027,Bättwil
Q12771,Canton of Vaud,Q43245,Baulmes
Q11943,Canton of Zürich,Q67145,Bauma
Q12771,Canton of Vaud,Q43248,Bavois
Q11911,Canton of Berne,Q68108,Beatenberg
Q12592,Canton of Nidwalden,Q69140,Beckenried
Q12724,Canton of Ticino,Q68799,Bedano
Q12724,Canton of Ticino,Q67035,Bedretto
Q12697,Canton of Schaffhausen,Q69123,Beggingen
Q12771,Canton of Vaud,Q43251,Begnins
Q11929,Canton of Solothurn,Q65391,Beinwil
Q11972,Canton of Aargau,Q65024,Beinwil (Freiamt)
Q11972,Canton of Aargau,Q65000,Beinwil am See
Q12640,Canton of Fribourg,Q65880,Belfaux
Q11929,Canton of Solothurn,Q66403,Bellach
Q11917,Canton of Geneva,Q69836,Bellevue
Q11972,Canton of Aargau,Q64521,Bellikon
Q12724,Canton of Ticino,Q64044,Bellinzona
Q11911,Canton of Berne,Q67382,Bellmund
Q834,Canton of Valais,Q68466,Bellwald
Q12640,Canton of Fribourg,Q17310488,Belmont-Broye
Q12771,Canton of Vaud,Q43254,Belmont-sur-Lausanne
Q12771,Canton of Vaud,Q43256,Belmont-sur-Yverdon
Q11911,Canton of Berne,Q69678,Belp
Q11911,Canton of Berne,Q67296,Belprahon
Q12746,Canton of St. Gallen,Q67227,Benken
Q11943,Canton of Zürich,Q70171,Benken
Q12146,Canton of Basel-Landschaft,Q64735,Bennwil
Q12771,Canton of Vaud,Q52256,Bercher
Q12746,Canton of St. Gallen,Q67318,Berg
Q12713,Canton of Thurgau,Q67165,Berg
Q11943,Canton of Zürich,Q65781,Berg am Irchel
Q11972,Canton of Aargau,Q68302,Bergdietikon
Q11925,Canton of the Grisons,Q22465879,Bergün Filisur
Q11972,Canton of Aargau,Q64334,Berikon
Q12697,Canton of Schaffhausen,Q69186,Beringen
Q11911,Canton of Berne,Q67803,Berken
Q12713,Canton of Thurgau,Q65463,Berlingen
Q11911,Canton of Berne,Q70,Bern
Q12746,Canton of St. Gallen,Q67225,Berneck
Q11917,Canton of Geneva,Q65259,Bernex
Q12771,Canton of Vaud,Q52258,Berolle
Q12121,Canton of Lucerne,Q7146,Beromünster
Q11972,Canton of Aargau,Q659378,Besenbüren
Q11911,Canton of Berne,Q67588,Bettenhausen
Q12771,Canton of Vaud,Q52259,Bettens
Q12172,Canton of Basel-Stadt,Q67530,Bettingen
Q11929,Canton of Solothurn,Q66831,Bettlach
Q834,Canton of Valais,Q15107547,Bettmeralp
Q12713,Canton of Thurgau,Q65823,Bettwiesen
Q11972,Canton of Aargau,Q64415,Bettwil
Q12755,Canton of Jura,Q67869,Beurnevésin
Q11925,Canton of the Grisons,Q69121,Bever
Q12771,Canton of Vaud,Q52261,Bex
Q12724,Canton of Ticino,Q67523,Biasca
Q11929,Canton of Solothurn,Q66723,Biberist
Q11972,Canton of Aargau,Q64491,Biberstein
Q12713,Canton of Thurgau,Q65820,Bichelsee-Balterswil
Q12146,Canton of Basel-Landschaft,Q70067,Biel-Benken
Q11911,Canton of Berne,Q1034,Biel/Bienne
Q12771,Canton of Vaud,Q52262,Bière
Q11929,Canton of Solothurn,Q67004,Biezwil
Q11911,Canton of Berne,Q65875,Biglen
Q12640,Canton of Fribourg,Q70454,Billens-Hennens
Q834,Canton of Valais,Q68471,Binn
Q12146,Canton of Basel-Landschaft,Q69621,Binningen
Q12724,Canton of Ticino,Q68425,Bioggio
Q12771,Canton of Vaud,Q52263,Bioley-Magnoux
Q11943,Canton of Zürich,Q65282,Birmensdorf
Q11972,Canton of Aargau,Q64457,Birmenstorf
Q11972,Canton of Aargau,Q64411,Birr
Q11972,Canton of Aargau,Q64987,Birrhard
Q11972,Canton of Aargau,Q64673,Birrwil
Q12146,Canton of Basel-Landschaft,Q64665,Birsfelden
Q12713,Canton of Thurgau,Q65767,Birwinken
Q12713,Canton of Thurgau,Q64865,Bischofszell
Q12724,Canton of Ticino,Q69269,Bissone
Q834,Canton of Valais,Q70351,Bister
Q834,Canton of Valais,Q68046,Bitsch
Q834,Canton of Valais,Q67496,Blatten
Q12146,Canton of Basel-Landschaft,Q66371,Blauen
Q11911,Canton of Berne,Q67606,Bleienbach
Q12724,Canton of Ticino,Q68789,Blenio
Q12771,Canton of Vaud,Q106804643,Blonay – Saint-Légier
Q11911,Canton of Berne,Q66139,Blumenstein
Q11972,Canton of Aargau,Q65225,Böbikon
Q12146,Canton of Basel-Landschaft,Q66731,Böckten
Q12755,Canton of Jura,Q69942,Boécourt
Q12771,Canton of Vaud,Q52267,Bofflens
Q12771,Canton of Vaud,Q52268,Bogis-Bossey
Q12640,Canton of Fribourg,Q88464491,Bois-d’Amont
Q11929,Canton of Solothurn,Q66688,Bolken
Q11911,Canton of Berne,Q69160,Bolligen
Q11911,Canton of Berne,Q65939,Boltigen
Q11925,Canton of the Grisons,Q64473,Bonaduz
Q12755,Canton of Jura,Q66980,Boncourt
Q12755,Canton of Jura,Q67993,Bonfol
Q11911,Canton of Berne,Q65502,Bönigen
Q11929,Canton of Solothurn,Q65606,Boningen
Q11972,Canton of Aargau,Q64529,Boniswil
Q11943,Canton of Zürich,Q65510,Bonstetten
Q12771,Canton of Vaud,Q52269,Bonvillars
Q11943,Canton of Zürich,Q67062,Boppelsen
Q12771,Canton of Vaud,Q52270,Borex
Q12724,Canton of Ticino,Q70328,Bosco/Gurin
Q12640,Canton of Fribourg,Q67379,Bösingen
Q12640,Canton of Fribourg,Q68429,Bossonnens
Q11972,Canton of Aargau,Q65222,Boswil
Q12771,Canton of Vaud,Q52271,Bottens
Q11972,Canton of Aargau,Q64261,Bottenwil
Q12640,Canton of Fribourg,Q67143,Botterens
Q12713,Canton of Thurgau,Q65962,Bottighofen
Q12146,Canton of Basel-Landschaft,Q70036,Bottmingen
Q11972,Canton of Aargau,Q65002,Böttstein
Q12738,Canton of Neuchâtel,Q69507,Boudry
Q12771,Canton of Vaud,Q52272,Bougy-Villars
Q12771,Canton of Vaud,Q52273,Boulens
Q12771,Canton of Vaud,Q52274,Bourg-en-Lavaux
Q834,Canton of Valais,Q70157,Bourg-Saint-Pierre
Q12771,Canton of Vaud,Q52276,Bournens
Q12755,Canton of Jura,Q70063,Bourrignon
Q12771,Canton of Vaud,Q52278,Boussens
Q834,Canton of Valais,Q70145,Bovernier
Q11911,Canton of Berne,Q69380,Bowil
Q11972,Canton of Aargau,Q1020189,Bözberg
Q11972,Canton of Aargau,Q64520764,Böztal
Q12713,Canton of Thurgau,Q69702,Braunau
Q11925,Canton of the Grisons,Q70677,Bregaglia
Q12724,Canton of Ticino,Q70629,Breggia
Q11925,Canton of the Grisons,Q64920,Breil/Brigels
Q11929,Canton of Solothurn,Q66672,Breitenbach
Q12771,Canton of Vaud,Q52281,Bremblens
Q11972,Canton of Aargau,Q64139,Bremgarten
Q11911,Canton of Berne,Q68185,Bremgarten bei Bern
Q11911,Canton of Berne,Q66146,Brenzikofen
Q12771,Canton of Vaud,Q52287,Bretigny-sur-Morrens
Q12771,Canton of Vaud,Q52289,Bretonnières
Q12146,Canton of Basel-Landschaft,Q64829,Bretzwil
Q11911,Canton of Berne,Q65268,Brienz
Q11911,Canton of Berne,Q65211,Brienzwiler
Q834,Canton of Valais,Q15583,Brig-Glis
Q12724,Canton of Ticino,Q68794,Brione sopra Minusio
Q12146,Canton of Basel-Landschaft,Q66725,Brislach
Q12724,Canton of Ticino,Q69706,Brissago
Q11972,Canton of Aargau,Q64273,Brittnau
Q12640,Canton of Fribourg,Q67519,Broc
Q12738,Canton of Neuchâtel,Q70519,Brot-Plamboz
Q11972,Canton of Aargau,Q64099,Brugg
Q11911,Canton of Berne,Q69455,Brügg
Q11972,Canton of Aargau,Q64656,Brunegg
Q12640,Canton of Fribourg,Q66952,Brünisried
Q12724,Canton of Ticino,Q70120,Brusino Arsizio
Q11925,Canton of the Grisons,Q64580,Brusio
Q11911,Canton of Berne,Q67260,Brüttelen
Q11943,Canton of Zürich,Q65812,Brütten
Q12146,Canton of Basel-Landschaft,Q66532,Bubendorf
Q11943,Canton of Zürich,Q67068,Bubikon
Q12697,Canton of Schaffhausen,Q66305,Buch
Q11943,Canton of Zürich,Q68451,Buch am Irchel
Q12697,Canton of Schaffhausen,Q65808,Buchberg
Q11929,Canton of Solothurn,Q15108127,Buchegg
Q11911,Canton of Berne,Q65495,Buchholterberg
Q12771,Canton of Vaud,Q52291,Buchillon
Q12121,Canton of Lucerne,Q7098,Buchrain
Q11972,Canton of Aargau,Q64512,Buchs
Q12746,Canton of St. Gallen,Q68277,Buchs
Q11943,Canton of Zürich,Q67539,Buchs
Q12146,Canton of Basel-Landschaft,Q66570,Buckten
Q11911,Canton of Berne,Q67399,Büetigen
Q11911,Canton of Berne,Q69983,Bühl
Q12079,Canton of Appenzell Ausserrhoden,Q67197,Bühler
Q11943,Canton of Zürich,Q9093,Bülach
Q12640,Canton of Fribourg,Q68308,Bulle
Q12771,Canton of Vaud,Q52293,Bullet
Q11972,Canton of Aargau,Q64784,Bünzen
Q12592,Canton of Nidwalden,Q64567,Buochs
Q834,Canton of Valais,Q70712,Bürchen
Q12755,Canton of Jura,Q68445,Bure
Q11929,Canton of Solothurn,Q70057,Büren
Q11911,Canton of Berne,Q66360,Büren an der Aare
Q12146,Canton of Basel-Landschaft,Q70008,Burg im Leimental
Q11911,Canton of Berne,Q68311,Burgdorf
Q11911,Canton of Berne,Q66393,Burgistein
Q12713,Canton of Thurgau,Q65599,Bürglen
Q12404,Canton of Uri,Q69321,Bürglen
Q12121,Canton of Lucerne,Q7139,Büron
Q12771,Canton of Vaud,Q52296,Bursinel
Q12771,Canton of Vaud,Q52298,Bursins
Q12771,Canton of Vaud,Q52299,Burtigny
Q11925,Canton of the Grisons,Q65369,Buseno
Q11929,Canton of Solothurn,Q66770,Büsserach
Q12771,Canton of Vaud,Q52300,Bussigny
Q12713,Canton of Thurgau,Q65983,Bussnang
Q11911,Canton of Berne,Q67450,Busswil bei Melchnau
Q12771,Canton of Vaud,Q52304,Bussy-sur-Moudon
Q12746,Canton of St. Gallen,Q1021823,Bütschwil-Ganterschwil
Q12697,Canton of Schaffhausen,Q69128,Büttenhardt
Q11972,Canton of Aargau,Q64768,Büttikon
Q12121,Canton of Lucerne,Q7132,Buttisholz
Q11972,Canton of Aargau,Q64792,Buttwil
Q12146,Canton of Basel-Landschaft,Q66325,Buus
Q12724,Canton of Ticino,Q68806,Cademario
Q12724,Canton of Ticino,Q67975,Cadempino
Q12724,Canton of Ticino,Q69790,Cadenazzo
Q11925,Canton of the Grisons,Q18229597,Calanca
Q11925,Canton of the Grisons,Q66024,Cama
Q12724,Canton of Ticino,Q67864,Campo (Vallemaggia)
Q12724,Canton of Ticino,Q68434,Canobbio
Q12724,Canton of Ticino,Q69043,Capriasca
Q11917,Canton of Geneva,Q69364,Carouge
Q11917,Canton of Geneva,Q65531,Cartigny
Q12724,Canton of Ticino,Q67270,Caslano
Q11925,Canton of the Grisons,Q659408,Castaneda
Q12724,Canton of Ticino,Q67872,Castel San Pietro
Q11925,Canton of the Grisons,Q64443,Cazis
Q11925,Canton of the Grisons,Q64964,Celerina/Schlarigna
Q11917,Canton of Geneva,Q69410,Céligny
Q12724,Canton of Ticino,Q70611,Centovalli
Q12724,Canton of Ticino,Q67965,Cerentino
Q12724,Canton of Ticino,Q67675,Cevio
Q834,Canton of Valais,Q70736,Chalais
Q11933,Canton of Zug,Q69235,Cham
Q12771,Canton of Vaud,Q52678,Chamblon
Q834,Canton of Valais,Q70178,Chamoson
Q12771,Canton of Vaud,Q52685,Champagne
Q834,Canton of Valais,Q70099,Champéry
Q11911,Canton of Berne,Q66938,Champoz
Q12771,Canton of Vaud,Q52690,Champtauroz
Q12771,Canton of Vaud,Q52694,Champvent
Q11917,Canton of Geneva,Q69811,Chancy
Q12640,Canton of Fribourg,Q70175,Chapelle
Q12771,Canton of Vaud,Q52698,Chardonne
Q12771,Canton of Vaud,Q52699,Château-d’Oex
Q12640,Canton of Fribourg,Q69517,Châtel-Saint-Denis
Q12640,Canton of Fribourg,Q67800,Châtel-sur-Montsalvens
Q12640,Canton of Fribourg,Q70297,Châtillon
Q12755,Canton of Jura,Q68803,Châtillon
Q12640,Canton of Fribourg,Q70418,Châtonnaye
Q12771,Canton of Vaud,Q52702,Chavannes-de-Bogis
Q12771,Canton of Vaud,Q52703,Chavannes-des-Bois
Q12771,Canton of Vaud,Q52704,Chavannes-le-Chêne
Q12771,Canton of Vaud,Q52706,Chavannes-le-Veyron
Q12771,Canton of Vaud,Q52714,Chavannes-près-Renens
Q12771,Canton of Vaud,Q52719,Chavannes-sur-Moudon
Q12771,Canton of Vaud,Q52726,Chavornay
Q11917,Canton of Geneva,Q69530,Chêne-Bougeries
Q11917,Canton of Geneva,Q69035,Chêne-Bourg
Q12771,Canton of Vaud,Q52737,Chêne-Pâquier
Q12640,Canton of Fribourg,Q67079,Chénens
Q12771,Canton of Vaud,Q52752,Cheseaux-Noréaz
Q12771,Canton of Vaud,Q52773,Cheseaux-sur-Lausanne
Q12771,Canton of Vaud,Q52777,Chéserex
Q12771,Canton of Vaud,Q52781,Chessel
Q12771,Canton of Vaud,Q52785,Chevilly
Q12771,Canton of Vaud,Q52803,Chevroux
Q12771,Canton of Vaud,Q52818,Chexbres
Q12640,Canton of Fribourg,Q22490623,Cheyres-Châbles
Q12724,Canton of Ticino,Q68111,Chiasso
Q12771,Canton of Vaud,Q57086,Chigny
Q834,Canton of Valais,Q69986,Chippis
Q11917,Canton of Geneva,Q68180,Choulex
Q11925,Canton of the Grisons,Q69007,Chur
Q11925,Canton of the Grisons,Q64363,Churwalden
Q12771,Canton of Vaud,Q57088,Clarmont
Q12755,Canton of Jura,Q68869,Clos du Doubs
Q12755,Canton of Jura,Q68821,Coeuve
Q12771,Canton of Vaud,Q57091,Coinsins
Q12724,Canton of Ticino,Q67738,Coldrerio
Q11917,Canton of Geneva,Q65691,Collex-Bossy
Q12724,Canton of Ticino,Q69062,Collina d'Oro
Q834,Canton of Valais,Q70165,Collombey-Muraz
Q11917,Canton of Geneva,Q69037,Collonge-Bellerive
Q834,Canton of Valais,Q68846,Collonges
Q11917,Canton of Geneva,Q69245,Cologny
Q12724,Canton of Ticino,Q70133,Comano
Q12771,Canton of Vaud,Q57094,Commugny
Q12771,Canton of Vaud,Q57096,Concise
Q11917,Canton of Geneva,Q65277,Confignon
Q11925,Canton of the Grisons,Q65100,Conters im Prättigau
Q834,Canton of Valais,Q69563,Conthey
Q12771,Canton of Vaud,Q57097,Coppet
Q12755,Canton of Jura,Q68769,Corban
Q12771,Canton of Vaud,Q57099,Corbeyrier
Q12640,Canton of Fribourg,Q67708,Corbières
Q11911,Canton of Berne,Q67862,Corcelles
Q12771,Canton of Vaud,Q57101,Corcelles-le-Jorat
Q12771,Canton of Vaud,Q57102,Corcelles-près-Concise
Q12771,Canton of Vaud,Q57104,Corcelles-près-Payerne
Q11911,Canton of Berne,Q66917,Corgémont
Q12640,Canton of Fribourg,Q66487,Corminboeuf
Q11911,Canton of Berne,Q66425,Cormoret
Q12738,Canton of Neuchâtel,Q70479,Cornaux
Q12755,Canton of Jura,Q68819,Cornol
Q12771,Canton of Vaud,Q57108,Corseaux
Q11917,Canton of Geneva,Q65643,Corsier
Q12771,Canton of Vaud,Q57110,Corsier-sur-Vevey
Q12738,Canton of Neuchâtel,Q70308,Cortaillod
Q11911,Canton of Berne,Q69974,Cortébert
Q12771,Canton of Vaud,Q57111,Cossonay
Q12640,Canton of Fribourg,Q67714,Cottens
Q12755,Canton of Jura,Q69852,Courchapoix
Q12755,Canton of Jura,Q69935,Courchavon
Q12755,Canton of Jura,Q67414,Courgenay
Q12640,Canton of Fribourg,Q67456,Courgevaux
Q12755,Canton of Jura,Q69,Courrendlin
Q12755,Canton of Jura,Q70095,Courroux
Q11911,Canton of Berne,Q69897,Court
Q12755,Canton of Jura,Q69855,Courtedoux
Q11911,Canton of Berne,Q65649,Courtelary
Q12640,Canton of Fribourg,Q70042,Courtepin
Q12755,Canton of Jura,Q67463,Courtételle
Q12771,Canton of Vaud,Q57115,Crans
Q834,Canton of Valais,Q688557,Crans-Montana
Q12771,Canton of Vaud,Q57117,Crassier
Q11911,Canton of Berne,Q68599,Crémines
Q12640,Canton of Fribourg,Q68558,Cressier
Q12738,Canton of Neuchâtel,Q70139,Cressier
Q12640,Canton of Fribourg,Q67361,Crésuz
Q12771,Canton of Vaud,Q57121,Crissier
Q12771,Canton of Vaud,Q57122,Cronay
Q12771,Canton of Vaud,Q70541,Croy
Q12771,Canton of Vaud,Q68624,Cuarnens
Q12771,Canton of Vaud,Q68834,Cuarny
Q12771,Canton of Vaud,Q70192,Cudrefin
Q12724,Canton of Ticino,Q68843,Cugnasco-Gerra
Q12640,Canton of Fribourg,Q70302,Cugy
Q12771,Canton of Vaud,Q68747,Cugy
Q12724,Canton of Ticino,Q70148,Cureglia
Q12771,Canton of Vaud,Q68733,Curtilles
Q11943,Canton of Zürich,Q67949,Dachsen
Q11943,Canton of Zürich,Q68437,Dägerlen
Q12121,Canton of Lucerne,Q14587,Dagmersellen
Q12771,Canton of Vaud,Q68892,Daillens
Q12592,Canton of Nidwalden,Q64575,Dallenwil
Q11943,Canton of Zürich,Q66755,Dällikon
Q12724,Canton of Ticino,Q67756,Dalpe
Q12755,Canton of Jura,Q111647468,Damphreux-Lugnez
Q11929,Canton of Solothurn,Q65586,Däniken
Q11943,Canton of Zürich,Q70131,Dänikon
Q11917,Canton of Geneva,Q69471,Dardagny
Q11911,Canton of Berne,Q65065,Därligen
Q11911,Canton of Berne,Q65721,Därstetten
Q11943,Canton of Zürich,Q70381,Dättlikon
Q11925,Canton of the Grisons,Q68097,Davos
Q12746,Canton of St. Gallen,Q64974,Degersheim
Q11911,Canton of Berne,Q67832,Deisswil bei Münchenbuchsee
Q11929,Canton of Solothurn,Q66142,Deitingen
Q12755,Canton of Jura,Q63896,Delémont
Q12640,Canton of Fribourg,Q68552,Delley-Portalban
Q12771,Canton of Vaud,Q68875,Démoret
Q12771,Canton of Vaud,Q68489,Denens
Q12771,Canton of Vaud,Q68671,Denges
Q11972,Canton of Aargau,Q64537,Densbüren
Q11929,Canton of Solothurn,Q69143,Derendingen
Q12755,Canton of Jura,Q68520,Develier
Q12146,Canton of Basel-Landschaft,Q65046,Diegten
Q11943,Canton of Zürich,Q67951,Dielsdorf
Q11911,Canton of Berne,Q65957,Diemtigen
Q12146,Canton of Basel-Landschaft,Q67280,Diepflingen
Q12746,Canton of St. Gallen,Q65615,Diepoldsau
Q12121,Canton of Lucerne,Q14565,Dierikon
Q11911,Canton of Berne,Q67854,Diessbach bei Büren
Q12713,Canton of Thurgau,Q67128,Diessenhofen
Q11943,Canton of Zürich,Q64070,Dietikon
Q11943,Canton of Zürich,Q65164,Dietlikon
Q11972,Canton of Aargau,Q64763,Dietwil
Q11943,Canton of Zürich,Q65795,Dinhard
Q11972,Canton of Aargau,Q65132,Dintikon
Q11925,Canton of the Grisons,Q68347,Disentis/Mustér
Q12146,Canton of Basel-Landschaft,Q66590,Dittingen
Q12771,Canton of Vaud,Q68902,Dizy
Q11925,Canton of the Grisons,Q68266,Domat/Ems
Q12640,Canton of Fribourg,Q67681,Domdidier
Q11925,Canton of the Grisons,Q18411365,Domleschg
Q12771,Canton of Vaud,Q68896,Dompierre
Q12771,Canton of Vaud,Q70584,Donneloye
Q12121,Canton of Lucerne,Q121062269,Doppleschwand
Q834,Canton of Valais,Q68487,Dorénaz
Q11943,Canton of Zürich,Q70283,Dorf
Q12697,Canton of Schaffhausen,Q69107,Dörflingen
Q11929,Canton of Solothurn,Q64694,Dornach
Q11972,Canton of Aargau,Q64438,Dottikon
Q11972,Canton of Aargau,Q64787,Döttingen
Q11911,Canton of Berne,Q69861,Dotzigen
Q12713,Canton of Thurgau,Q65407,Dozwil
Q11929,Canton of Solothurn,Q240486,Drei Höfe
Q11943,Canton of Zürich,Q64082,Dübendorf
Q12640,Canton of Fribourg,Q70108,Düdingen
Q12146,Canton of Basel-Landschaft,Q66736,Duggingen
Q12771,Canton of Vaud,Q70389,Duillier
Q11929,Canton of Solothurn,Q65978,Dulliken
Q12771,Canton of Vaud,Q68622,Dully
Q11943,Canton of Zürich,Q67220,Dürnten
Q11972,Canton of Aargau,Q64979,Dürrenäsch
Q11911,Canton of Berne,Q69819,Dürrenroth
Q12121,Canton of Lucerne,Q14566,Ebikon
Q12746,Canton of St. Gallen,Q66237,Ebnat-Kappel
Q12771,Canton of Vaud,Q70714,Echallens
Q12771,Canton of Vaud,Q68630,Echandens
Q12640,Canton of Fribourg,Q66873,Echarlens
Q12771,Canton of Vaud,Q68742,Echichens
Q12771,Canton of Vaud,Q70525,Eclépens
Q12640,Canton of Fribourg,Q70481,Ecublens
Q12771,Canton of Vaud,Q69716,Ecublens
Q12755,Canton of Jura,Q69924,Ederswiler
Q11929,Canton of Solothurn,Q64275,Egerkingen
Q11943,Canton of Zürich,Q64877,Egg
