cantonLabel,municipalityLabel,coatOfArmsImage
Canton of Aargau,Kirchleerau,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Kirchleerau%20AG.svg
Canton of Aargau,Klingnau,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Klingnau.svg
Canton of Aargau,Koblenz AG,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Koblenz%20AG.svg
Canton of Aargau,Kölliken,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20K%C3%B6lliken%20COA.svg
Canton of Aargau,Künten,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20K%C3%BCnten%20AG.svg
Canton of Aargau,Küttigen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20K%C3%BCttigen%20COA.svg
Canton of Aargau,Laufenburg,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Laufenburg%20AG.svg
Canton of Aargau,Leibstadt,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Leibstadt.svg
Canton of Aargau,Leimbach,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Leimbach%20AG.svg
Canton of Aargau,Lengnau,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Lengnau%20AG.svg
Canton of Aargau,Lenzburg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Lenzburg%20COA.svg
Canton of Aargau,Leuggern,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Leuggern.svg
Canton of Aargau,Leutwil,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Leutwil.svg
Canton of Aargau,Lupfig,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Lupfig.svg
Canton of Aargau,Magden,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Magden%20AG.svg
Canton of Aargau,Mandach,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Mandach%20AG.svg
Canton of Aargau,Meisterschwanden,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Meisterschwanden.svg
Canton of Aargau,Mellikon,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Mellikon%20COA.svg
Canton of Aargau,Mellingen,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Mellingen%20AG.svg
Canton of Aargau,Menziken,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Menziken%20COA.svg
Canton of Aargau,Merenschwand,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Merenschwand%20COA.svg
Canton of Aargau,Mettauertal,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Mettauertal%20COA.svg
Canton of Aargau,Moosleerau,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Moosleerau%20AG.svg
Canton of Aargau,Muhen,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Muhen%20AG.svg
Canton of Aargau,Mumpf,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Mumpf%20AG.svg
Canton of Aargau,Murgenthal,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Murgenthal%20AG.svg
Canton of Aargau,Muri,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Muri%20COA.svg
Canton of Aargau,Mägenwil,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20M%C3%A4genwil%20AG.svg
Canton of Aargau,Möhlin,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20M%C3%B6hlin%20AG.svg
Canton of Aargau,Mönthal,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Moenthal.svg
Canton of Aargau,Möriken-Wildegg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20M%C3%B6riken-Wildegg%20COA.svg
Canton of Aargau,Mühlau,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20M%C3%BChlau%20AG%20COA.svg
Canton of Aargau,Mülligen,http://commons.wikimedia.org/wiki/Special:FilePath/Muelligen-blason.svg
Canton of Aargau,Münchwilen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20M%C3%BCnchwilen%20COA.svg
Canton of Aargau,Neuenhof,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Neuenhof%20COA.svg
Canton of Aargau,Niederlenz,http://commons.wikimedia.org/wiki/Special:FilePath/Niederlenz-blason.svg
Canton of Aargau,Niederrohrdorf,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Niederrohrdorf%20AG.svg
Canton of Aargau,Niederwil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Niederwil%20AG%20COA.svg
Canton of Aargau,Oberehrendingen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Oberehrendingen%20COA.svg
Canton of Aargau,Oberentfelden,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Oberentfelden%20AG.svg
Canton of Aargau,Oberhof,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Oberhof%20COA.svg
Canton of Aargau,Oberkulm,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Oberkulm.svg
Canton of Aargau,Oberlunkhofen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Oberlunkhofen%20COA.svg
Canton of Aargau,Obermumpf,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Obermumpf%20AG.svg
Canton of Aargau,Oberrohrdorf,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Oberrohrdorf%20AG.svg
Canton of Aargau,Oberrüti,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Oberr%C3%BCti%20COA.svg
Canton of Aargau,Obersiggenthal,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Obersiggenthal%20AG.svg
Canton of Aargau,Oberwil-Lieli,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Oberwil-Lieli%20AG.svg
Canton of Aargau,Oeschgen,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Oeschgen.svg
Canton of Aargau,Oftringen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Oftringen%20COA.svg
Canton of Aargau,Olsberg,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Olsberg%20AG.svg
Canton of Aargau,Othmarsingen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Othmarsingen%20COA.svg
Canton of Aargau,Reinach,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Reinach%20AG.svg
Canton of Aargau,Reitnau,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Reitnau%20AG.svg
Canton of Aargau,Rekingen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Rekingen%20COA.svg
Canton of Aargau,Remetschwil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Remetschwil%20COA.svg
Canton of Aargau,Remigen,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Remigen%20AG.svg
Canton of Aargau,Rheinfelden,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Rheinfelden%20COA.svg
Canton of Aargau,Rietheim,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Rietheim%20COA.svg
Canton of Aargau,Riniken,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Riniken%20AG.svg
Canton of Aargau,Rothrist,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Rothrist%20AG.svg
Canton of Aargau,Rottenschwil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Rottenschwil%20COA.svg
Canton of Aargau,Rudolfstetten-Friedlisberg,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Rudolfstetten%20AG.svg
Canton of Aargau,Rupperswil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Rupperswil%20COA.svg
Canton of Aargau,Rüfenach,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20R%C3%BCfenach%20AG.svg
Canton of Aargau,Rümikon,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20R%C3%BCmikon%20COA.svg
Canton of Aargau,Safenwil,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Safenwil%20AG.svg
Canton of Aargau,Sarmenstorf,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Sarmenstorf%20AG.svg
Canton of Aargau,Schafisheim,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Schafisheim%20COA.svg
Canton of Aargau,Schinznach,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Schinznach%20COA.svg
Canton of Aargau,Schinznach-Bad,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Schinznach-Bad%20COA.svg
Canton of Aargau,Schinznach-Dorf,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Schinznach-Dorf%20COA.svg
Canton of Aargau,Schlossrued,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Schlossrued%20COA.svg
Canton of Aargau,Schmiedrued,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Schmiedrued%20COA.svg
Canton of Aargau,Schneisingen,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Schneisingen.svg
Canton of Aargau,Schupfart,http://commons.wikimedia.org/wiki/Special:FilePath/Schupfart-blason.svg
Canton of Aargau,Schwaderloch,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Schwaderloch.svg
Canton of Aargau,Schöftland,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Schoeftland.svg
Canton of Aargau,Seengen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Seengen%20COA.svg
Canton of Aargau,Seon,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Seon%20COA.svg
Canton of Aargau,Siglistorf,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Siglistorf%20COA.svg
Canton of Aargau,Sins,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Sins%20COA.svg
Canton of Aargau,Sisseln,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Sisseln%20COA.svg
Canton of Aargau,Spreitenbach,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Spreitenbach%20COA.svg
Canton of Aargau,Staffelbach,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Staffelbach%20AG.svg
Canton of Aargau,Staufen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Staufen%20COA.svg
Canton of Aargau,Stein,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Stein%20COA.svg
Canton of Aargau,Stetten,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Stetten%20AG.svg
Canton of Aargau,Strengelbach,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Strengelbach%20AG.svg
Canton of Aargau,Suhr,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Suhr%20AG.svg
Canton of Aargau,Tegerfelden,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Tegerfelden%20COA.svg
Canton of Aargau,Teufenthal,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Teufenthal.svg
Canton of Aargau,Thalheim,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Thalheim%20AG.svg
Canton of Aargau,Tägerig,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20T%C3%A4gerig%20AG.svg
Canton of Aargau,Uerkheim,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Uerkheim.svg
Canton of Aargau,Uezwil,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Uezwil%20AG.svg
Canton of Aargau,Unterentfelden,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Unterentfelden.svg
Canton of Aargau,Unterkulm,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Unterkulm.svg
Canton of Aargau,Unterlunkhofen,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Unterlunkhofen.svg
Canton of Aargau,Untersiggenthal,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Untersiggenthal%20AG.svg
Canton of Aargau,Veltheim,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Veltheim%20AG.svg
Canton of Aargau,Villigen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Villigen%20COA.svg
Canton of Aargau,Villmergen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Villmergen%20COA.svg
Canton of Aargau,Villnachern,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Villnachern%20AG.svg
Canton of Aargau,Vordemwald,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Vordemwald%20AG.svg
Canton of Aargau,Wallbach,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Wallbach%20AG.svg
Canton of Aargau,Waltenschwil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Waltenschwil%20COA.svg
Canton of Aargau,Wegenstetten,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Wegenstetten%20AG.svg
Canton of Aargau,Wettingen,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Wettingen%20AG.svg
Canton of Aargau,Widen,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Widen%20AG.svg
Canton of Aargau,Wiliberg,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Wiliberg%20AG.svg
Canton of Aargau,Windisch,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Windisch%20AG.svg
Canton of Aargau,Wislikofen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Wislikofen%20COA.svg
Canton of Aargau,Wittnau,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Wittnau%20COA.svg
Canton of Aargau,Wohlen,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Wohlen%20AG.svg
Canton of Aargau,Wohlenschwil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Wohlenschwil%20COA.svg
Canton of Aargau,Wölflinswil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20W%C3%B6lflinswil%20COA.svg
Canton of Aargau,Würenlingen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20W%C3%BCrenlingen%20COA.svg
Canton of Aargau,Würenlos,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20W%C3%BCrenlos%20COA.svg
Canton of Aargau,Zeihen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Zeihen%20COA.svg
Canton of Aargau,Zeiningen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Zeiningen%20COA.svg
Canton of Aargau,Zetzwil,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Zetzwil%20COA.svg
Canton of Aargau,Zofingen,http://commons.wikimedia.org/wiki/Special:FilePath/Wappen%20Zofingen%20AG.svg
Canton of Aargau,Zufikon,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Zufikon%20COA.svg
Canton of Aargau,Zurzach,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Zurzach%20COA.svg
Canton of Aargau,Zuzgen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Zuzgen%20COA.svg
Canton of Appenzell Ausserrhoden,Bühler,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20B%C3%BChler%20COA.svg
Canton of Appenzell Ausserrhoden,Gais,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Gais%20COA.svg
Canton of Appenzell Ausserrhoden,Grub,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Grub%20AR%20COA.svg
Canton of Appenzell Ausserrhoden,Heiden,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Heiden%20COA.jpg
Canton of Appenzell Ausserrhoden,Herisau,http://commons.wikimedia.org/wiki/Special:FilePath/Herisau%20wappen.svg
Canton of Appenzell Ausserrhoden,Hundwil,http://commons.wikimedia.org/wiki/Special:FilePath/Hundwil-Blazono.png
Canton of Appenzell Ausserrhoden,Lutzenberg,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Lutzenberg%20COA.svg
Canton of Appenzell Ausserrhoden,Rehetobel,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Rehetobel%20COA.svg
Canton of Appenzell Ausserrhoden,Reute,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Reute%20COA.svg
Canton of Appenzell Ausserrhoden,Schwellbrunn,http://commons.wikimedia.org/wiki/Special:FilePath/Schwellbrunn-blazon.svg
Canton of Appenzell Ausserrhoden,Schönengrund,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Sch%C3%B6nengrund%20COA.svg
Canton of Appenzell Ausserrhoden,Speicher,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Speicher%20COA.svg
Canton of Appenzell Ausserrhoden,Stein,http://commons.wikimedia.org/wiki/Special:FilePath/Stein%20AR-Blazono.png
Canton of Appenzell Ausserrhoden,Teufen,http://commons.wikimedia.org/wiki/Special:FilePath/Teufen%20wappen.svg
Canton of Appenzell Ausserrhoden,Trogen,http://commons.wikimedia.org/wiki/Special:FilePath/Trogen%20AR%20Wappen.svg
Canton of Appenzell Ausserrhoden,Urnäsch,http://commons.wikimedia.org/wiki/Special:FilePath/Urn%C3%A4sch%20wappen.svg
Canton of Appenzell Ausserrhoden,Wald,http://commons.wikimedia.org/wiki/Special:FilePath/Wald%20AR-Blazono.png
Canton of Appenzell Ausserrhoden,Waldstatt,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Waldstatt%20COA.svg
Canton of Appenzell Ausserrhoden,Walzenhausen,http://commons.wikimedia.org/wiki/Special:FilePath/CHE%20Walzenhausen%20COA.svg
